config_id,strategy,search_scope,query_id,specificity,target_document_codes,gold_unit_count,top_k,precision,recall,f1,r_precision,mrr,ndcg,retrieved_answer_unit_count,relevant_retrieved_count
fs_64_12,fixed_size,pil_acts,q4eu_041,N,B,5,5,0.25,0.4,0.3076923076923077,0.2,0.3333333333333333,0.29039140533630226,8,2
fs_64_12,fixed_size,pil_acts,q4eu_041,N,B,5,10,0.25,0.6,0.35294117647058826,0.2,0.3333333333333333,0.3820454332646352,12,3
fs_64_12,fixed_size,pil_acts,q4eu_042,L,RI,2,5,0.16666666666666666,0.5,0.25,0.5,1.0,0.6131471927654584,6,1
fs_64_12,fixed_size,pil_acts,q4eu_042,L,RI,2,10,0.07692307692307693,0.5,0.13333333333333336,0.5,1.0,0.6131471927654584,13,1
fs_64_12,fixed_size,pil_acts,q4eu_043,N,B;RI,2,5,0.25,1.0,0.4,0.5,1.0,0.9197207891481876,8,2
fs_64_12,fixed_size,pil_acts,q4eu_043,N,B;RI,2,10,0.14285714285714285,1.0,0.25,0.5,1.0,0.9197207891481876,14,2
fs_64_12,fixed_size,pil_acts,q4eu_044,L,RI,4,5,0.75,0.75,0.75,0.75,0.5,0.6096199500078984,4,3
fs_64_12,fixed_size,pil_acts,q4eu_044,L,RI,4,10,0.375,0.75,0.5,0.75,0.5,0.6096199500078984,8,3
fs_64_12,fixed_size,pil_acts,q4eu_045,N,B,4,5,0.5,0.5,0.5,0.5,1.0,0.6366824387328317,4,2
fs_64_12,fixed_size,pil_acts,q4eu_045,N,B,4,10,0.4444444444444444,1.0,0.6153846153846153,0.5,1.0,0.9178287402913374,9,4
fs_64_12,fixed_size,pil_acts,q4eu_046,H,B,5,5,0.6,0.6,0.6,0.6,1.0,0.7227265726449519,5,3
fs_64_12,fixed_size,pil_acts,q4eu_046,H,B,5,10,0.3,0.6,0.4,0.6,1.0,0.7227265726449519,10,3
fs_64_12,fixed_size,pil_acts,q4eu_068,L,B;RI;RII,6,5,0.1111111111111111,0.16666666666666666,0.13333333333333333,0.16666666666666666,0.2,0.11706259313796355,9,1
fs_64_12,fixed_size,pil_acts,q4eu_068,L,B;RI;RII,6,10,0.0625,0.16666666666666666,0.09090909090909091,0.16666666666666666,0.2,0.11706259313796355,16,1
fs_64_12,fixed_size,pil_acts,q4eu_069,L,RI,5,5,0.0,0.0,0.0,0.0,0.0,0.0,10,0
fs_64_12,fixed_size,pil_acts,q4eu_069,L,RI,5,10,0.0625,0.2,0.09523809523809523,0.0,0.07142857142857142,0.08681077623592635,16,1
fs_64_12,fixed_size,pil_acts,q4eu_070,H,RII,4,5,0.2222222222222222,0.5,0.30769230769230765,0.0,0.2,0.2741708125981702,9,2
fs_64_12,fixed_size,pil_acts,q4eu_070,H,RII,4,10,0.14285714285714285,0.5,0.22222222222222224,0.0,0.2,0.2741708125981702,14,2
fs_64_12,fixed_size,pil_acts,q4eu_071,N,B,2,5,0.0,0.0,0.0,0.0,0.0,0.0,8,0
fs_64_12,fixed_size,pil_acts,q4eu_071,N,B,2,10,0.0,0.0,0.0,0.0,0.0,0.0,14,0
fs_64_12,fixed_size,target_acts,q4eu_001,H,E,3,5,0.2,0.3333333333333333,0.25,0.3333333333333333,1.0,0.46927872602275644,5,1
fs_64_12,fixed_size,target_acts,q4eu_001,H,E,3,10,0.23076923076923078,1.0,0.375,0.3333333333333333,1.0,0.7596950201816822,13,3
fs_64_12,fixed_size,target_acts,q4eu_002,N,E,2,5,0.1111111111111111,0.5,0.1818181818181818,0.5,1.0,0.6131471927654584,9,1
fs_64_12,fixed_size,target_acts,q4eu_002,N,E,2,10,0.13333333333333333,1.0,0.23529411764705882,0.5,1.0,0.7741900178546666,15,2
fs_64_12,fixed_size,target_acts,q4eu_003,L,E,2,5,0.2,1.0,0.33333333333333337,0.0,0.2,0.45560514958746035,10,2
fs_64_12,fixed_size,target_acts,q4eu_003,L,E,2,10,0.14285714285714285,1.0,0.25,0.0,0.2,0.45560514958746035,14,2
fs_64_12,fixed_size,target_acts,q4eu_004,N,E,2,5,0.6666666666666666,1.0,0.8,0.5,0.5,0.6934264036172708,3,2
fs_64_12,fixed_size,target_acts,q4eu_004,N,E,2,10,0.4,1.0,0.5714285714285715,0.5,0.5,0.6934264036172708,5,2
fs_64_12,fixed_size,target_acts,q4eu_005,L,E,2,5,0.3333333333333333,1.0,0.5,0.5,1.0,0.9197207891481876,6,2
fs_64_12,fixed_size,target_acts,q4eu_005,L,E,2,10,0.25,1.0,0.4,0.5,1.0,0.9197207891481876,8,2
fs_64_12,fixed_size,target_acts,q4eu_006,N,E,2,5,0.25,1.0,0.4,0.5,0.5,0.6509209298071326,8,2
fs_64_12,fixed_size,target_acts,q4eu_006,N,E,2,10,0.15384615384615385,1.0,0.2666666666666667,0.5,0.5,0.6509209298071326,13,2
fs_64_12,fixed_size,target_acts,q4eu_007,H,E,1,5,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,5,1
fs_64_12,fixed_size,target_acts,q4eu_007,H,E,1,10,0.125,1.0,0.2222222222222222,1.0,1.0,1.0,8,1
fs_64_12,fixed_size,target_acts,q4eu_008,L,E,2,5,0.0,0.0,0.0,0.0,0.0,0.0,8,0
fs_64_12,fixed_size,target_acts,q4eu_008,L,E,2,10,0.0,0.0,0.0,0.0,0.0,0.0,15,0
fs_64_12,fixed_size,target_acts,q4eu_009,H,E,2,5,0.5,1.0,0.6666666666666666,0.5,0.5,0.6509209298071326,4,2
fs_64_12,fixed_size,target_acts,q4eu_009,H,E,2,10,0.3333333333333333,1.0,0.5,0.5,0.5,0.6509209298071326,6,2
fs_64_12,fixed_size,target_acts,q4eu_010,H,E,1,5,0.3333333333333333,1.0,0.5,1.0,1.0,1.0,3,1
fs_64_12,fixed_size,target_acts,q4eu_010,H,E,1,10,0.25,1.0,0.4,1.0,1.0,1.0,4,1
fs_64_12,fixed_size,target_acts,q4eu_011,L,E,5,5,0.16666666666666666,0.2,0.1818181818181818,0.2,0.25,0.14606834984270645,6,1
fs_64_12,fixed_size,target_acts,q4eu_011,L,E,5,10,0.1,0.2,0.13333333333333333,0.2,0.25,0.14606834984270645,10,1
fs_64_12,fixed_size,target_acts,q4eu_012,N,E,4,5,1.0,0.5,0.6666666666666666,0.5,1.0,1.0,2,2
fs_64_12,fixed_size,target_acts,q4eu_012,N,E,4,10,0.6666666666666666,1.0,0.8,1.0,1.0,1.0,6,4
fs_64_12,fixed_size,target_acts,q4eu_013,N,E,2,5,0.5,1.0,0.6666666666666666,0.5,0.5,0.6934264036172708,4,2
